Name,Score,Genre,Episodes,Studios,Rating
Aa! Megami-sama!,7,Comedy,258,AIC,PG-13 - Teens 13 or older
Aa! Megami-sama! (TV),7,Comedy,243,AIC,PG-13 - Teens 13 or older
Kidou Tenshi Angelic Layer,7,Sci-Fi,237,Bones,PG-13 - Teens 13 or older
Appleseed (Movie),7,Action,224,Digital Frontier,R - 17+ (violence & profanity)
Arc the Lad,7,Action,220,Bee Train,R - 17+ (violence & profanity)
Avenger,6,Adventure,214,"Bee Train, Xebec",R - 17+ (violence & profanity)
Beck,8,Comedy,203,Madhouse,R - 17+ (violence & profanity)
Chobits,7,Sci-Fi,201,Madhouse,PG-13 - Teens 13 or older
Chrno Crusade,8,Action,200,Gonzo,R - 17+ (violence & profanity)
D.N.Angel,7,Action,195,Xebec,PG-13 - Teens 13 or older
Rozen Maiden,7,Action,193,Nomad,PG-13 - Teens 13 or older
Rozen Maiden: Träumend,8,Slice of Life,192,Nomad,PG-13 - Teens 13 or older
Azumanga Daioh,8,Action,191,J.C.Staff,PG-13 - Teens 13 or older
Basilisk: Kouga Ninpou Chou,8,Sci-Fi,182,Gonzo,R - 17+ (violence & profanity)
Black Cat (TV),7,Action,180,Gonzo,PG-13 - Teens 13 or older
Cluster Edge,6,Action,178,Sunrise,PG-13 - Teens 13 or older
Full Metal Panic!,8,Action,178,Gonzo,R - 17+ (violence & profanity)
Full Metal Panic? Fumoffu,8,Action,175,Kyoto Animation,PG-13 - Teens 13 or older
Full Metal Panic! The Second Raid,8,Comedy,172,Kyoto Animation,R - 17+ (violence & profanity)
Gakuen Alice,8,Action,170,Group TAC,G - All Ages
Soukyuu no Fafner: Dead Aggressor,7,Action,170,Xebec,PG-13 - Teens 13 or older
Mahou Shoujo Lyrical Nanoha,7,Action,170,Seven Arcs,PG-13 - Teens 13 or older
Mahou Shoujo Lyrical Nanoha A's,8,Adventure,170,Seven Arcs,PG-13 - Teens 13 or older
Mobile Suit Gundam,8,Military,167,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam: The 08th MS Team,8,Military,164,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam 0080: War in the Pocket,8,Military,163,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam: The 08th MS Team - Miller's Report,7,Military,160,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam 0083: Stardust Memory,7,Space,156,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Zeta Gundam,8,Drama,154,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam ZZ,7,Action,153,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam: Char's Counterattack,8,Action,153,"Sunrise, Studio Hibari",PG-13 - Teens 13 or older
Mobile Suit Gundam F91,7,Sci-Fi,151,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Victory Gundam,7,Action,150,"Sunrise, Studio Deen",PG-13 - Teens 13 or older
Mobile Suit Gundam Wing,8,Action,148,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam Wing: Endless Waltz,8,Adventure,148,Sunrise,PG-13 - Teens 13 or older
After War Gundam X,7,Action,148,Sunrise,PG-13 - Teens 13 or older
Mobile Suit Gundam SEED,8,Action,147,Sunrise,R - 17+ (violence & profanity)
Mobile Suit Gundam SEED Destiny,7,Comedy,146,Sunrise,R - 17+ (violence & profanity)
Turn A Gundam,8,Comedy,145,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older
Mobile Fighter G Gundam,8,Slice of Life,143,Sunrise,PG-13 - Teens 13 or older
Last Exile,8,Comedy,142,Gonzo,PG-13 - Teens 13 or older
Mai-HiME,7,Adventure,142,Sunrise,PG-13 - Teens 13 or older
Mai-Otome,7,Adventure,140,Sunrise,PG-13 - Teens 13 or older
Shin Shirayuki-hime Densetsu Prétear,7,Slice of Life,140,Hal Film Maker,PG-13 - Teens 13 or older
Air,7,Drama,139,Kyoto Animation,PG-13 - Teens 13 or older
Aishiteruze Baby★★,7,Adventure,137,TMS Entertainment,PG-13 - Teens 13 or older
Akazukin Chacha,7,Adventure,136,Gallop,G - All Ages
Ayashi no Ceres,7,Adventure,131,Studio Pierrot,R - 17+ (violence & profanity)
Boys Be...,6,Action,130,Hal Film Maker,PG-13 - Teens 13 or older
Hana yori Dango,8,Sci-Fi,130,Toei Animation,PG-13 - Teens 13 or older
Ou Dorobou Jing,7,Action,128,Studio Deen,PG-13 - Teens 13 or older
Ou Dorobou Jing in Seventh Heaven,7,Action,127,Studio Deen,PG-13 - Teens 13 or older
Bakuretsu Tenshi,7,Comedy,127,Gonzo,PG-13 - Teens 13 or older
Chuuka Ichiban!,8,Adventure,127,Nippon Animation,PG-13 - Teens 13 or older
Corrector Yui,7,Adventure,124,Nippon Animation,PG - Children
Chou Henshin Cosprayers,5,Comedy,120,"Imagin, Studio Live",PG-13 - Teens 13 or older
Uchuu no Stellvia,7,Slice of Life,120,Xebec,PG-13 - Teens 13 or older
Sakigake!! Cromartie Koukou,8,Action,119,Production I.G,PG-13 - Teens 13 or older
El Hazard: The Alternative World,7,Music,119,AIC,PG-13 - Teens 13 or older
El Hazard: The Wanderers,7,Adventure,117,AIC,PG-13 - Teens 13 or older
El Hazard: The Magnificent World,7,Adventure,115,AIC,PG-13 - Teens 13 or older
El Hazard 2: The Magnificent World,7,Comedy,114,AIC,PG-13 - Teens 13 or older
Final Approach,7,Comedy,114,Zexcs,PG-13 - Teens 13 or older
Fruits Basket,8,Action,114,Studio Deen,PG-13 - Teens 13 or older
Fullmetal Alchemist,8,Action,113,Bones,PG-13 - Teens 13 or older
Full Moon wo Sagashite,8,Action,112,Studio Deen,PG-13 - Teens 13 or older
Fushigi Yuugi,8,Action,112,Studio Pierrot,PG-13 - Teens 13 or older
Fushigi Yuugi: Eikouden,7,Action,110,Studio Pierrot,PG-13 - Teens 13 or older
Futakoi,6,Action,109,Telecom Animation Film,PG-13 - Teens 13 or older
Futakoi Alternative,7,Comedy,109,"ufotable, feel., Studio Flag",PG-13 - Teens 13 or older
Gate Keepers,7,Action,109,Gonzo,PG-13 - Teens 13 or older
Gate Keepers 21,7,Action,108,Gonzo,PG-13 - Teens 13 or older
Gensoumaden Saiyuuki,8,Mecha,108,Studio Pierrot,R - 17+ (violence & profanity)
Saiyuuki Reload,7,Adventure,105,Studio Pierrot,PG-13 - Teens 13 or older
Saiyuuki Reload Gunlock,7,Supernatural,105,Studio Pierrot,PG-13 - Teens 13 or older
GetBackers,8,Drama,104,Studio Deen,PG-13 - Teens 13 or older
Gunslinger Girl,7,Comedy,104,Madhouse,R - 17+ (violence & profanity)
Hikaru no Go,8,Drama,104,Studio Pierrot,PG-13 - Teens 13 or older
Hunter x Hunter,8,Action,104,Nippon Animation,PG-13 - Teens 13 or older
Hunter x Hunter: Original Video Animation,8,Action,104,Nippon Animation,PG-13 - Teens 13 or older
Hunter x Hunter: Greed Island,8,Action,104,Nippon Animation,PG-13 - Teens 13 or older
Hunter x Hunter: Greed Island Final,8,Action,103,Nippon Animation,PG-13 - Teens 13 or older
Jinki:Extend,6,Action,103,feel.,R - 17+ (violence & profanity)
Kamikaze Kaitou Jeanne,7,Action,103,Toei Animation,PG-13 - Teens 13 or older
Kannazuki no Miko,7,Comedy,102,TNK,PG-13 - Teens 13 or older
Kanon,7,Slice of Life,102,Toei Animation,G - All Ages
Kareshi Kanojo no Jijou,8,Adventure,102,"Gainax, J.C.Staff",PG-13 - Teens 13 or older
Kita e.: Diamond Dust Drops,7,Adventure,101,Studio Deen,PG-13 - Teens 13 or older
Loveless,7,Action,101,J.C.Staff,PG-13 - Teens 13 or older
Blood+,8,Comedy,100,Production I.G,R - 17+ (violence & profanity)
Solty Rei,7,Adventure,100,Gonzo,R - 17+ (violence & profanity)
Juuni Kokuki,8,Action,100,Studio Pierrot,PG-13 - Teens 13 or older
Shaman King,8,Action,100,Xebec,PG-13 - Teens 13 or older
X/1999,7,Historical,100,Madhouse,R - 17+ (violence & profanity)
Mahou Sensei Negima!,7,Sci-Fi,100,Xebec,PG-13 - Teens 13 or older
Maria-sama ga Miteru,7,Action,99,Studio Deen,PG-13 - Teens 13 or older
Boukyaku no Senritsu,6,Action,99,"Gainax, J.C.Staff",PG-13 - Teens 13 or older
"Ima, Soko ni Iru Boku",8,Comedy,97,AIC,R - 17+ (violence & profanity)
Peace Maker Kurogane,7,Adventure,97,Gonzo,R - 17+ (violence & profanity)
Pita Ten,7,Mystery,97,Madhouse,G - All Ages
Power Stone,6,Action,97,Studio Pierrot,PG - Children
Mononoke Hime,9,Action,96,Studio Ghibli,PG-13 - Teens 13 or older
RahXephon,7,Adventure,95,Bones,PG-13 - Teens 13 or older
Samurai 7,7,Action,94,Gonzo,PG-13 - Teens 13 or older
Scrapped Princess,7,Comedy,94,Bones,PG-13 - Teens 13 or older
s.CRY.ed,7,Comedy,94,Sunrise,PG-13 - Teens 13 or older
Shingetsutan Tsukihime,7,Action,93,J.C.Staff,R - 17+ (violence & profanity)
Slam Dunk,9,Adventure,92,Toei Animation,PG-13 - Teens 13 or older
Strange Dawn,6,School,91,Hal Film Maker,PG - Children
Tactics,7,Action,91,Studio Deen,PG-13 - Teens 13 or older
Tenjou Tenge,7,Action,89,Madhouse,R - 17+ (violence & profanity)
Tokyo Underground,7,Action,88,Studio Pierrot,PG-13 - Teens 13 or older
Triangle Heart: Sweet Songs Forever,6,Comedy,87,Seven Arcs,PG-13 - Teens 13 or older
Tsubasa Chronicle,8,Comedy,86,Bee Train,PG-13 - Teens 13 or older
Ultra Maniac,7,Slice of Life,84,Production Reed,G - All Ages
Ultra Maniac OVA,7,Adventure,83,Production Reed,G - All Ages
Vandread,7,Sci-Fi,80,Gonzo,PG-13 - Teens 13 or older
Vandread: The Second Stage,7,Comedy,78,Gonzo,PG-13 - Teens 13 or older
Tenkuu no Escaflowne,8,Adventure,78,Sunrise,PG-13 - Teens 13 or older
Whistle!,7,Comedy,78,Studio Comet,G - All Ages
Xenosaga The Animation,6,Action,78,Toei Animation,PG-13 - Teens 13 or older
Initial D First Stage,8,Action,78,"Gallop, Studio Comet",PG-13 - Teens 13 or older
Initial D Second Stage,8,Action,78,Pastel,PG-13 - Teens 13 or older
Initial D Third Stage,8,Action,77,Studio Deen,PG-13 - Teens 13 or older
Love Hina,7,Action,77,Xebec,PG-13 - Teens 13 or older
Love Hina Again,7,Action,77,Xebec,PG-13 - Teens 13 or older
Love Hina Christmas Special: Silent Eve,7,Action,77,Xebec,PG-13 - Teens 13 or older
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7,Action,76,Xebec,PG-13 - Teens 13 or older
Onegai☆Teacher,7,Comedy,76,Daume,PG-13 - Teens 13 or older
Onegai☆Twins,7,Action,76,Daume,PG-13 - Teens 13 or older
Sen to Chihiro no Kamikakushi,9,Action,75,Studio Ghibli,PG - Children
Tenshi na Konamaiki,7,Adventure,75,TMS Entertainment,PG-13 - Teens 13 or older
Wolf's Rain,8,Action,75,Bones,PG-13 - Teens 13 or older
Yumeria,6,Action,75,Studio Deen,PG-13 - Teens 13 or older
Samurai Champloo,9,Mystery,75,Manglobe,R - 17+ (violence & profanity)
Lodoss-tou Senki: Eiyuu Kishi Den,7,Comedy,75,AIC,PG-13 - Teens 13 or older
Lodoss-tou Senki,7,Action,75,Madhouse,R - 17+ (violence & profanity)
R.O.D: Read or Die,8,Action,74,Studio Deen,PG-13 - Teens 13 or older
R.O.D: The TV,8,Adventure,74,J.C.Staff,PG-13 - Teens 13 or older
Project A-Ko,7,Comedy,74,APPP,PG-13 - Teens 13 or older
Pia Carrot e Youkoso!! 2 DX,6,Adventure,74,Unknown,PG-13 - Teens 13 or older
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,6,Adventure,74,Bones,PG-13 - Teens 13 or older
Kidou Senkan Nadesico,8,Adventure,73,Xebec,PG-13 - Teens 13 or older
Kidou Senkan Nadesico: The Prince of Darkness,7,Adventure,73,Xebec,R - 17+ (violence & profanity)
Dragon Ball,8,Action,73,Toei Animation,PG-13 - Teens 13 or older
Dragon Ball GT,6,Drama,73,Toei Animation,PG-13 - Teens 13 or older
FLCL,8,Slice of Life,73,"Gainax, Production I.G",PG-13 - Teens 13 or older
Jigoku Shoujo,8,Slice of Life,73,Studio Deen,R - 17+ (violence & profanity)
Ninin ga Shinobuden,7,Comedy,73,ufotable,R - 17+ (violence & profanity)
Air Master,7,Historical,72,Toei Animation,R - 17+ (violence & profanity)
Asagiri no Miko,6,Slice of Life,72,"Chaos Project, GANSIS",PG - Children
Cardcaptor Sakura,8,Adventure,72,Madhouse,PG - Children
Daa! Daa! Daa!,8,Fantasy,70,J.C.Staff,G - All Ages
Dan Doh!!,7,Comedy,70,Tokyo Kids,G - All Ages
E's Otherwise,7,Adventure,69,Studio Pierrot,PG-13 - Teens 13 or older
Koukyoushihen Eureka Seven,8,Adventure,69,Bones,PG-13 - Teens 13 or older
Rekka no Honoo,7,Military,68,Studio Pierrot,PG-13 - Teens 13 or older
Gankutsuou,8,Comedy,67,Gonzo,R - 17+ (violence & profanity)
Genshiken,8,Slice of Life,66,Palm Studio,PG-13 - Teens 13 or older
Gokusen,7,Sci-Fi,66,Madhouse,R - 17+ (violence & profanity)
Gravitation,7,Horror,65,Studio Deen,PG-13 - Teens 13 or older
Agatha Christie no Meitantei Poirot to Marple,7,Comedy,65,OLM,G - All Ages
Great Teacher Onizuka,9,Comedy,65,Studio Pierrot,R - 17+ (violence & profanity)
Groove Adventure Rave,7,Comedy,65,Studio Deen,PG-13 - Teens 13 or older
Harukanaru Toki no Naka de: Hachiyou Shou,7,Comedy,65,Yumeta Company,PG-13 - Teens 13 or older
Ichigo 100%,7,Comedy,65,Madhouse,PG-13 - Teens 13 or older
InuYasha,8,Comedy,65,Sunrise,PG-13 - Teens 13 or older
Konjiki no Gash Bell!!,8,Drama,65,Toei Animation,PG-13 - Teens 13 or older
Kyou kara Maou!,8,Action,64,Studio Deen,PG-13 - Teens 13 or older
Madlax,7,Action,64,Bee Train,PG-13 - Teens 13 or older
Jungle wa Itsumo Hare nochi Guu,8,Sci-Fi,64,Shin-Ei Animation,PG-13 - Teens 13 or older
Jungle wa Itsumo Hare nochi Guu Deluxe,8,Action,64,Shin-Ei Animation,PG-13 - Teens 13 or older
Jungle wa Itsumo Hare nochi Guu Final,8,Slice of Life,64,Shin-Ei Animation,PG-13 - Teens 13 or older
Hoshi no Koe,7,Action,64,CoMix Wave Films,PG-13 - Teens 13 or older
Hitsuji no Uta,6,Fantasy,64,Madhouse,R - 17+ (violence & profanity)
Happy☆Lesson,7,Adventure,64,Studio Hibari,PG-13 - Teens 13 or older
Happy☆Lesson (TV),7,Comedy,63,Studio Hibari,PG-13 - Teens 13 or older
Happy☆Lesson: Advance,7,Action,63,Studio Hibari,PG-13 - Teens 13 or older
Happy☆Lesson: The Final,7,Slice of Life,63,Studio Hibari,PG-13 - Teens 13 or older
Hajime no Ippo,9,Action,63,Madhouse,PG-13 - Teens 13 or older
Hajime no Ippo: Champion Road,8,Action,63,Madhouse,PG-13 - Teens 13 or older
Hajime no Ippo: Mashiba vs. Kimura,8,Adventure,63,Madhouse,PG-13 - Teens 13 or older
Gunparade March: Arata Naru Kougunka,7,Action,62,J.C.Staff,PG-13 - Teens 13 or older
Gungrave,8,Action,62,Madhouse,R - 17+ (violence & profanity)
Bleach,8,Comedy,61,Studio Pierrot,PG-13 - Teens 13 or older
Hellsing,8,Action,61,Gonzo,R - 17+ (violence & profanity)
Gad Guard,7,Comedy,61,Gonzo,PG-13 - Teens 13 or older
Noir,7,Drama,61,Bee Train,PG-13 - Teens 13 or older
Mahoutsukai ni Taisetsu na Koto,7,Comedy,61,J.C.Staff,PG-13 - Teens 13 or older
Viewtiful Joe,7,Adventure,61,Group TAC,PG-13 - Teens 13 or older
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7,Action,61,TMS Entertainment,R - 17+ (violence & profanity)
Animal Yokochou,7,Action,61,Gallop,G - All Ages
Akane Maniax,6,Adventure,60,Silver,PG-13 - Teens 13 or older
Angel Heart,7,Game,60,TMS Entertainment,PG-13 - Teens 13 or older
Akage no Anne,8,Action,60,Nippon Animation,G - All Ages
Area 88 (TV),7,Action,60,Group TAC,PG-13 - Teens 13 or older
Argento Soma,7,Adventure,60,Sunrise,PG-13 - Teens 13 or older
B'T X,7,Comedy,60,TMS Entertainment,PG-13 - Teens 13 or older
Grappler Baki (TV),7,Kids,60,Group TAC,PG-13 - Teens 13 or older
Bakuten Shoot Beyblade,7,Sci-Fi,59,Madhouse,PG - Children
Comic Party,7,Comedy,59,OLM,PG-13 - Teens 13 or older
Seikai no Monshou,8,Comedy,59,Sunrise,PG-13 - Teens 13 or older
D.C.S.S: Da Capo Second Season,7,Sports,58,feel.,PG-13 - Teens 13 or older
Dear Boys,7,Action,58,A.C.G.T.,PG-13 - Teens 13 or older
Di Gi Charat,7,Drama,58,Madhouse,G - All Ages
Divergence Eve 2: Misaki Chronicles,6,Action,56,Radix,PG-13 - Teens 13 or older
Dragon Drive,7,Action,56,Madhouse,PG - Children
Grenadier: Hohoemi no Senshi,7,Comedy,56,Group TAC,PG-13 - Teens 13 or older
.hack//Tasogare no Udewa Densetsu,7,Comedy,56,Bee Train,PG-13 - Teens 13 or older
.hack//Liminality,7,Slice of Life,56,Bee Train,PG-13 - Teens 13 or older
3x3 Eyes,7,Horror,56,Toei Animation,R - 17+ (violence & profanity)
Cinderella Boy,6,Comedy,56,Magic Bus,PG-13 - Teens 13 or older
Mirai Shounen Conan,8,Music,55,Nippon Animation,PG-13 - Teens 13 or older
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,7,Drama,55,OLM,G - All Ages
Aa! Megami-sama! Movie,8,Adventure,55,AIC,PG-13 - Teens 13 or older
Kerokko Demetan,6,Comedy,54,Tatsunoko Production,PG - Children
Zettai Shounen,7,Comedy,54,Ajia-Do,PG-13 - Teens 13 or older
Akahori Gedou Hour Rabuge,6,Fantasy,54,Radix,PG-13 - Teens 13 or older
"Chiisana Obake: Acchi, Kocchi, Socchi",6,Comedy,54,Studio Pierrot,G - All Ages
Ace wo Nerae!,7,Military,54,"Madhouse, Tokyo Movie Shinsha",PG-13 - Teens 13 or older
Ace wo Nerae!: Final Stage,7,Dementia,54,Unknown,PG-13 - Teens 13 or older
Ace wo Nerae! (1979),7,Action,54,Madhouse,PG-13 - Teens 13 or older
Ace wo Nerae! 2,7,Drama,54,Annapuru,PG-13 - Teens 13 or older
Xiao Qian,7,Drama,53,Triangle Staff,PG - Children
Final Fantasy VII: Advent Children,8,Comedy,53,Square Enix,PG-13 - Teens 13 or older
Hand Maid May,7,Sci-Fi,53,"TNK, Production Reed",PG-13 - Teens 13 or older
Paradise Kiss,8,Slice of Life,53,Madhouse,R - 17+ (violence & profanity)
Kidou Keisatsu Patlabor: On Television,8,Drama,53,Sunrise,PG-13 - Teens 13 or older
Peach Girl,7,Action,53,Studio Comet,PG-13 - Teens 13 or older
Petshop of Horrors,7,Comedy,53,Madhouse,R - 17+ (violence & profanity)
Puchi Pri*Yucie,7,Supernatural,52,Gainax,G - All Ages
Piano (TV),6,Comedy,52,OLM,G - All Ages
Planetes,8,Comedy,52,Sunrise,PG-13 - Teens 13 or older
Mahoujin Guruguru,8,Magic,52,Nippon Animation,G - All Ages
Dokidoki♡Densetsu: Mahoujin Guruguru,7,Action,52,Nippon Animation,G - All Ages
Mama wa Shougaku 4 Nensei,7,Action,52,Sunrise,PG - Children
Marmalade Boy,7,Comedy,52,Toei Animation,PG-13 - Teens 13 or older
Matantei Loki Ragnarok,7,Action,52,Studio Deen,PG-13 - Teens 13 or older
Ginyuu Mokushiroku Meine Liebe,6,Adventure,52,Bee Train,PG-13 - Teens 13 or older
Psychic Academy,6,Romance,52,E&G Films,PG-13 - Teens 13 or older
Versailles no Bara,8,Mystery,52,Tokyo Movie Shinsha,PG-13 - Teens 13 or older
Serial Experiments Lain,8,Police,52,Triangle Staff,R - 17+ (violence & profanity)
Mutsu Enmei Ryuu Gaiden: Shura no Toki,8,Comedy,52,Studio Comet,PG-13 - Teens 13 or older
Spiral: Suiri no Kizuna,7,Action,52,J.C.Staff,PG-13 - Teens 13 or older
Starship Operators,7,Comedy,52,J.C.Staff,PG-13 - Teens 13 or older
Tsukuyomi: Moon Phase,7,Comedy,52,Shaft,PG-13 - Teens 13 or older
Futatsu no Spica,7,Sci-Fi,52,Group TAC,PG-13 - Teens 13 or older
Eikoku Koi Monogatari Emma,8,Action,52,Studio Pierrot,G - All Ages
W: Wish,6,Action,52,"Trinet Entertainment, Picture Magic",PG-13 - Teens 13 or older
Wild Arms: Twilight Venom,7,Action,52,Bee Train,PG-13 - Teens 13 or older
Binzume Yousei,6,Comedy,52,Xebec,G - All Ages
Magical Canan,6,Adventure,52,AIC ASTA,PG-13 - Teens 13 or older
Ojamajo Doremi,7,Adventure,52,Toei Animation,G - All Ages
Ojamajo Doremi Sharp,7,Comedy,52,Toei Animation,G - All Ages
Motto! Ojamajo Doremi,7,Drama,52,Toei Animation,G - All Ages
Ojamajo Doremi Dokkaan!,8,Comedy,52,Toei Animation,G - All Ages
Shakugan no Shana,8,Slice of Life,52,J.C.Staff,PG-13 - Teens 13 or older
Fate/stay night,7,Cars,52,Studio Deen,R - 17+ (violence & profanity)
Bokusatsu Tenshi Dokuro-chan,7,Action,52,"Hal Film Maker, Nomad",R - 17+ (violence & profanity)
I'll/CKBC,6,Sports,52,M.S.C,PG-13 - Teens 13 or older
Himiko-den,6,Adventure,52,Group TAC,PG-13 - Teens 13 or older
Memories Off,6,Action,52,Unknown,PG-13 - Teens 13 or older
Memories Off 2nd,6,Adventure,52,Unknown,PG-13 - Teens 13 or older
Memories Off 3.5,6,Action,52,"Picture Magic, Rikuentai",PG-13 - Teens 13 or older
Gallery Fake,7,Romance,52,"TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",PG-13 - Teens 13 or older
Fake,7,Adventure,52,J.C.Staff,PG-13 - Teens 13 or older
Akazukin Chacha OVA,7,Horror,52,Gallop,G - All Ages
Burn Up Excess,7,Shounen,52,Magic Bus,PG-13 - Teens 13 or older
Cardcaptor Sakura Movie 1,8,Comedy,52,Madhouse,PG - Children
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8,Action,52,Madhouse,PG - Children
Bannou Bunka Neko-Musume,7,Action,52,"Studio Fantasia, animate Film",PG-13 - Teens 13 or older
Bannou Bunka Neko-Musume DASH!,6,Sci-Fi,52,Production Reed,R - 17+ (violence & profanity)
Bannou Bunka Neko-Musume (1998),7,Action,52,Production Reed,PG-13 - Teens 13 or older
eX-Driver,7,Action,52,"Actas, Production Reed",PG-13 - Teens 13 or older
eX-Driver the Movie,7,Adventure,52,Actas,PG-13 - Teens 13 or older
Heppoko Jikken Animation Excel♥Saga,8,Adventure,52,J.C.Staff,R - 17+ (violence & profanity)
Fushigi Yuugi OVA,7,Adventure,52,Studio Pierrot,PG-13 - Teens 13 or older
Fushigi Yuugi: Dai Ni Bu,7,Comedy,52,Studio Pierrot,PG-13 - Teens 13 or older
Galaxy Angel,7,Adventure,52,Madhouse,PG-13 - Teens 13 or older
Gilgamesh,7,Comedy,52,"Group TAC, Japan Vistec",R - 17+ (violence & profanity)
H2,7,Action,52,Production Reed,PG-13 - Teens 13 or older
Haibane Renmei,8,Comedy,52,Radix,PG-13 - Teens 13 or older
Capeta,8,Adventure,52,Studio Comet,PG - Children
Karas,7,Comedy,52,Tatsunoko Production,R - 17+ (violence & profanity)
Suzuka,7,Military,52,Studio Comet,PG-13 - Teens 13 or older
Tales of Phantasia The Animation,7,Adventure,52,Actas,PG-13 - Teens 13 or older
Yuu☆Yuu☆Hakusho,8,Action,52,Studio Pierrot,PG-13 - Teens 13 or older
Escaflowne,7,Drama,52,"Bones, Sunrise",PG-13 - Teens 13 or older
Ai Yori Aoshi: Enishi,7,Adventure,52,J.C.Staff,PG-13 - Teens 13 or older
Seikai no Senki,8,Action,52,Sunrise,PG-13 - Teens 13 or older
Seikai no Senki II,8,Comedy,52,Sunrise,PG-13 - Teens 13 or older
Seikai no Senki III,8,Adventure,52,Sunrise,PG-13 - Teens 13 or older
Seikai no Senki Special,7,Comedy,52,Sunrise,PG-13 - Teens 13 or older
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8,Drama,52,Studio Deen,R - 17+ (violence & profanity)
Otogi Juushi Akazukin OVA,6,Adventure,52,Madhouse,PG-13 - Teens 13 or older
Blood: The Last Vampire,7,Action,52,Production I.G,R - 17+ (violence & profanity)
Buzzer Beater,7,Adventure,52,TMS Entertainment,PG-13 - Teens 13 or older
Tantei Gakuen Q,8,Comedy,52,Studio Pierrot,PG-13 - Teens 13 or older
Final Fantasy VII: Last Order,7,Adventure,52,Madhouse,PG-13 - Teens 13 or older
Gun x Sword,7,Action,52,AIC ASTA,PG-13 - Teens 13 or older
Hametsu no Mars,2,Adventure,52,WAO World,R - 17+ (violence & profanity)
Tonari no Yamada-kun,7,Action,52,Studio Ghibli,G - All Ages
Kurenai no Buta,8,Action,52,Studio Ghibli,G - All Ages
Ragnarök The Animation,6,Military,52,G&G Entertainment,PG-13 - Teens 13 or older
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,7,Comedy,52,Unknown,PG-13 - Teens 13 or older
Samurai Deeper Kyou,7,Slice of Life,52,Studio Deen,PG-13 - Teens 13 or older
Spriggan,7,Comedy,52,Studio 4°C,R - 17+ (violence & profanity)
Stratos 4,7,Action,52,Studio Fantasia,PG-13 - Teens 13 or older
Stratos 4 OVA,7,Drama,52,Studio Fantasia,PG-13 - Teens 13 or older
